"Serial","lodIDN","Facets"
"1","pid_graph:016841FF","{""id"": ""pid_graph:016841FF"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""20000000"", ""GUPRI"": ""GUPRi.png"", ""Label"": ""LCCN"", ""Entity"": null, ""Scheme"": ""LCCN Scheme"", ""Status"": ""Established"", ""Unique"": ""Globally Unique"", ""Coverage"": ""USA"", ""Managers"": null, ""Provider"": null, ""Standard"": ""Structure of the LC Control Number"", ""Authority"": null, ""Countries"": null, ""Identifier"": ""LCCN"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""1898"", ""Description"": ""Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier"", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""Semantic Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:025992EB","{""id"": ""pid_graph:025992EB"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""10000000000"", ""GUPRI"": ""-UPRi.png"", ""Label"": ""EAN13"", ""Entity"": null, ""Scheme"": ""European Article Number"", ""Status"": ""Established"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""European Union"", ""Managers"": ""1"", ""Provider"": ""International Article Number (EAN)"", ""Standard"": ""GS1 General Specifications"", ""Authority"": ""GS1"", ""Countries"": null, ""Identifier"": ""EAN13"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""1970"", ""Description"": ""Standard describing a barcode symbology and numbering"", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""2"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:03A715EA","{""id"": ""pid_graph:03A715EA"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""2340117"", ""GUPRI"": ""-UṕRi.png"", ""Label"": ""arXiv"", ""Entity"": ""Publications"", ""Scheme"": ""ArXiv Scheme"", ""Status"": ""Established"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""arXiv.org"", ""Standard"": ""arXiv Internal Standard"", ""Authority"": ""arXiv.org"", ""Countries"": null, ""Identifier"": ""arXiv"", ""Persistent"": ""Yes,Implicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""1991"", ""Description"": ""Article identifier scheme used by arXiv. arXiv is an e-print service in the fields of physics, mathematics, non-linear science, computer science, and quantitative biology."", ""Availability"": ""Yes"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""2"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:03A715EA1","{""id"": ""pid_graph:03A715EA1"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""100000000"", ""GUPRI"": ""-UṕRi.png"", ""Label"": ""BibCode"", ""Entity"": null, ""Scheme"": ""BibCode Scheme"", ""Status"": ""Established"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""NASA Astrophysics Data System (ADS)"", ""Standard"": ""Bibcode Published Schema"", ""Authority"": ""NASA Astrophysics Data System (ADS)"", ""Countries"": null, ""Identifier"": ""BibCode"", ""Persistent"": ""Yes,Implicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""1993"", ""Description"": ""Bibliographic reference code for a journal, maintained by Harvard"", ""Availability"": ""No"", ""Disciplinary"": ""Astronomy"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""Semantic Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:075D8338","{""id"": ""pid_graph:075D8338"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": ""1000000"", ""GUPRI"": ""-üPRi.png"", ""Label"": ""AID"", ""Entity"": null, ""Scheme"": ""AID Scheme"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""Internal NCBI Standard - AID"", ""Authority"": ""NCBI"", ""Countries"": null, ""Identifier"": ""AID"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2004"", ""Description"": ""PubChem BioAssay contains small-molecule and RNAi screening data along with associated annotation information from contributing organizations. BioAssay contains a collection of bioactivity and toxicity data that has greatly supported research in fields such as medicinal chemistry, drug discovery, pharmaceutical genomics and informatics research. As a primary archive, the provenance of all records belongs to the submitter."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:075D8338X","{""id"": ""pid_graph:075D8338X"", ""API"": null, ""ISO"": ""DEU"", ""MPA"": null, ""Count"": null, ""GUPRI"": null, ""Label"": ""Not Applicable"", ""Entity"": ""Research Grants,Service,Software"", ""Scheme"": null, ""Status"": null, ""Unique"": null, ""Coverage"": null, ""Managers"": null, ""Provider"": null, ""Standard"": null, ""Authority"": null, ""Countries"": ""[\""Germany\""]"", ""Identifier"": ""Not Applicable"", ""Persistent"": null, ""Resolvable"": null, ""Start Date"": null, ""Description"": ""No Identifier has been selected or indicated in relation to recommended use, or in other relationships in the Knowledge Base"", ""Availability"": null, ""Disciplinary"": null, ""MetaResovers"": null, ""Namespace Type"": null, ""Recommended By"": ""1"", ""Globally Unique"": null, ""Identifier Type"": null, ""Resolution Type"": null, ""Number of Resolvers"": null, ""Resolution Topology"": null}"
"1","pid_graph:08629E50","{""id"": ""pid_graph:08629E50"", ""API"": null, ""ISO"": ""FIN"", ""MPA"": null, ""Count"": ""40000000"", ""GUPRI"": ""-üṕRi.png"", ""Label"": ""PMID"", ""Entity"": ""Research Outputs,Publications"", ""Scheme"": ""Pub Med Identification Number"", ""Status"": ""Established"", ""Unique"": ""Locally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""National Center for Biotechnology Information (NCBI)"", ""Standard"": ""PMID Standard"", ""Authority"": ""NCBI"", ""Countries"": ""[\""Finland\""]"", ""Identifier"": ""PMID"", ""Persistent"": ""Implicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""1996"", ""Description"": ""A PMID (PubMed identifier or PubMed unique identifier) is a unique integer value, starting at 1, assigned to each PubMed record."", ""Availability"": ""No"", ""Disciplinary"": ""Life Sciences"", ""MetaResovers"": null, ""Namespace Type"": ""No Prefix"", ""Recommended By"": ""1"", ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""2"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:08EE6DB9","{""id"": ""pid_graph:08EE6DB9"", ""API"": ""Yes"", ""ISO"": null, ""MPA"": null, ""Count"": "" "", ""GUPRI"": ""-UṕRi.png"", ""Label"": ""OMID"", ""Entity"": null, ""Scheme"": null, ""Status"": ""Emerging"", ""Unique"": ""Namespace Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""Entertainment Identifier Registry Association (EIDR)"", ""Standard"": null, ""Authority"": ""Entertainment Identifier Registry Association (EIDR)"", ""Countries"": null, ""Identifier"": ""OMID"", ""Persistent"": ""Yes,Implicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""2022"", ""Description"": ""Every entity in OpenCitations Meta (https://opencitations.net/meta) is assigned persistent internal identifier called OpenCitations Meta Identifier (OMID). The OMID has structure [[entity_type_abbreviation]]/[[supplier_prefix]][[sequential_number]]. For example, the first journal article ever processed has OMID br/0601 (the full URI is https://w3id.org/oc/meta/br/0601), where br is the abbreviation of bibliographic resource, and 060 corresponds to the supplier prefix, helpful in recognising at a glance the index it belongs to (i.e., OpenCitations Meta). Finally, 1 indicates that this is the index's first bibliographic resource ever minted."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""No Prefix"", ""Recommended By"": null, ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Centralised""}"
"1","pid_graph:0D27745F","{""id"": ""pid_graph:0D27745F"", ""API"": null, ""ISO"": ""AUS,CAN,DEU,FIN,GBR,NLD"", ""MPA"": null, ""Count"": ""50000"", ""GUPRI"": ""GUPRi.png"", ""Label"": ""RAID"", ""Entity"": ""Organisations,Research Activity"", ""Scheme"": ""Digital Object Identifier"", ""Status"": ""Emerging"", ""Unique"": ""Globally Unique"", ""Coverage"": ""Global"", ""Managers"": ""1"", ""Provider"": ""RAID Australia"", ""Standard"": ""ISO 26324:2022"", ""Authority"": ""DONA"", ""Countries"": ""[\""Australia\"", \""Canada\"", \""Germany\"", \""Finland\"", \""UK\"", \""Netherlands\""]"", ""Identifier"": ""RAID"", ""Persistent"": ""Yes,Explicit"", ""Resolvable"": ""Direct"", ""Start Date"": ""2018"", ""Description"": ""A unique and persistent identifier for research projects"", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""No Prefix"", ""Recommended By"": ""6"", ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Cascaded""}"
"1","pid_graph:0E85921A","{""id"": ""pid_graph:0E85921A"", ""API"": ""Yes"", ""ISO"": ""AUS,DEU,NLD"", ""MPA"": null, ""Count"": ""11000000"", ""GUPRI"": ""GUPRi.png"", ""Label"": ""IGSN"", ""Entity"": ""Samples"", ""Scheme"": ""Digital Object Identifier"", ""Status"": ""Established"", ""Unique"": ""Globally Unique"", ""Coverage"": ""Global"", ""Managers"": ""32"", ""Provider"": ""MARUM Center for Marine Environmental Studies at University of Bremen"", ""Standard"": ""ISO 26324:2022"", ""Authority"": ""DONA"", ""Countries"": ""[\""Australia\"", \""Germany\"", \""Netherlands\""]"", ""Identifier"": ""IGSN"", ""Persistent"": ""Explicit,Yes"", ""Resolvable"": ""Direct"", ""Start Date"": ""2008"", ""Description"": ""IGSN is a globally unique and persistent identifier for material samples and specimens. IGSNs are obtained from IGSN e.V. Agents."", ""Availability"": ""No"", ""Disciplinary"": ""Generic"", ""MetaResovers"": ""Yes"", ""Namespace Type"": ""Static Prefix"", ""Recommended By"": ""3"", ""Globally Unique"": ""Yes"", ""Identifier Type"": ""Allocated"", ""Resolution Type"": ""Resolver"", ""Number of Resolvers"": ""1"", ""Resolution Topology"": ""Cascaded""}"
