lodIDN,duplicate_Check,Identifier,Label,GUPRI,Status,Globally Unique,Unique,Persistent,Resolution Topology,Resolution Type,Resolvable,API,Authority,Availability Monitored,Count,Countries,Coverage,Description,Disciplinary,Entity,Identifier Type,ISO,Managers,MetaResolvers,MPA,Namespace Type,Number of Resolvers,Provider,Recommended By,Scheme,Standard,Start Date
pid_graph:7E709E59,,URN:NBN,URN:NBN,-UP-i.png,Established,Yes,Namespace Unique,Explicit,Decentralised,No resolver,Indirect,,"Decentralised,Internet Corporation for Assigned Names and Numbers (ICANN),World Wide Web Consortium (W3C),Bitzi,W3C DID Working Group",,50000000,"[""Netherlands""]",Global,"National Bibliography Number (NBN) is a group of publication identifier systems used by national libraries in countries such as Germany, Italy, Finland, Norway, The Netherlands and Sweden",Generic,"Research Outputs,Datasets,Publications",Allocated,NLD,1,No,,Static Prefix,5,Decentralised,1,Uniform Resource Name – National Bibliography Number,RFC 8141,1997
pid_graph:8C3CC433,,EU PIC,EU PIC,-üpři.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,No resolver,Indirect,,European Commission,No,600000,,European Union,A Participant Identification Code (PIC) is a 9-digit number that serves as a unique identifier for legal entities participating in European funding programmes. A PIC number has no expiry date.,Generic,Grant Applicants,Allocated,,1,No,,No Prefix,1,European Commission,,Internal EU Scheme,Internal EU Standard,2014
pid_graph:7C278907,,Virta-id,Virta-id,-üpři.png,Established,No,Locally Unique,"Implicit,Yes",Centralised,No resolver,Indirect,,Finnish Ministry of Education and Culture,,500000,,Finland,"The Virta-ID is associated with the VIRTA Higher Education Achievement Register (VIRTA-opintotietopalvelu) in Finland. This service was built as part of the Raketti project during 2012 and 2013 and officially launched in 2014. It serves as a national data repository for Finnish higher education institutions, aiming to improve student admissions and facilitate various administrative and academic processes.",Generic,Researchers,Allocated,,1,,,Unknown,,Virta Ltd.,,Virta ID Scheme,Virta-Id Standard,2014
pid_graph:92768060,,URN:ISTC,URN:ISTC,-UPři.png,Discontinued,Yes,Namespace Unique,Explicit,Discontinued,No Resolver,Not Resolvable,Yes,International ISTC Agency,No,1000000,,Global,Unique identifier for text-based works,Generic,Creative Works,Allocated,,1,No,,Static Prefix,2,International ISTC Agency,,ISTC (International Standard Text Code),ISO 21047:2009,2009
pid_graph:4502C312,,URN:ISMN,URN:ISMN,-UPři.png,Established,Yes,Namespace Unique,Explicit,Centralised,No resolver,Indirect,,ISMN Agency,No,500000,"[""Czechia""]",Global,identifier for printed music (not in book form) developed by ISO. ,Generic,Printed Music,Allocated,CZE,1,No,,No Prefix,1,ISMN Agency,1,URN:ISMN Scheme,ISO 10957:2021,1993
pid_graph:60F6C8F3,,HomoloGene ID,HomoloGene ID,-üpři.png,Discontinued,No,Locally Unique,"Implicit,Yes",Discontinued,No Resolver,Not Resolvable,,NCBI,,100000,,Global,"HomoloGene, a tool of the United States National Center for Biotechnology Information (NCBI), is a system for automated detection of homologs.",Life Sciences,Genomics-Related,Allocated,,1,,,No Prefix,,National Center for Biotechnology Information (NCBI),,HomoloGene Scheme,HomoloGene ID Standard,2004
pid_graph:AF81E099,,Nucleotide GI number,Nucleotide GI number,-üpři.png,Discontinued,No,Locally Unique,"Implicit,Yes",Discontinued,No Resolver,Not Resolvable,,NCBI,,1000000000,,Global,"The Nucleotide database is a collection of sequences from several sources, including GenBank, RefSeq, TPA and PDB. Genome, gene and transcript sequence data provide the foundation for biomedical research and discovery.",Life Sciences,Genomics-Related,Allocated,,1,No,,No Prefix,2,National Center for Biotechnology Information (NCBI),,Internal NCBI Schema,Internal NCBI Standard,1990
pid_graph:774111F8,,URN:LSID,URN:LSID,-Upři.png,Discontinued,Yes,Namespace Unique,Explicit,Discontinued,No resolver,,,OASIS consortium,,,,Global,"Life Science Identifiers are a way to name and locate pieces of information on the web. Essentially, an LSID is a unique identifier for some data, and the LSID protocol specifies a standard way to locate the data (as well as a standard way of describing that data)",Life Sciences,Taxon,Allocated,,1,,,Static Prefix,,OASIS consortium,,Internal LSID Scheme loosleu based on URN,RFC 8141,2001
pid_graph:335BCBF11,,RAI ID,RAI ID,GUṕři.png,Emerging,Yes,Globally Unique,"Implicit, No",Decentralised,No resolver,Not Resolvable,,RAISE.eu,,10000,,Global,Research Analysis Identifier (RAI) of experiments will become a new Persistent Identifier (PID) that can be used in addition to existing PIDs. This identifier combines the result with the dataset and algorithm employed by a researcher to process the dataset.,Generic,Experiments,Intrinsic,,1,,,Unique Hash,,RAISE.eu,,RAI Scheme,None,2023
pid_graph:C9B802B5,,SF-edu-ID,SF-edu-ID,-üPři.png,Established,No,Locally Unique,Explicit,Centralised,No resolver,Indirect,,Statistics Finland,No, ,"[""Finland""]",Finland,The Register of educational institutions is a chargeable product of Statistics Finland containing the addresses of all educational institutions in Finland. The Register is updated yearly in the spring. The Register contains data collected 2023.,Generic,Organisations,Allocated,FIN,1,No,,No Prefix,1,Statistics Finland,1,SF-edu-ID Scheme,SF-edu-ID Standard,2000
